id,name,host_id,host_name,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23805007,"Large, sunny, private uptown apartment!",4335164,Eva,Manhattan,40.83963,-73.93512,Entire home/apt,50,1,12,9/29/2018,0.75,1,0
35406694,Spacious Duplex - Straight ride from JFK,5541374,Hassan And Patti,Brooklyn,40.68635,-73.91482,Private room,195,4,0,,,5,274
21678477,Trendy Williamsburg House with Private Studio,39472888,Sarah,Brooklyn,40.71369,-73.93669,Private room,100,5,41,10/13/2018,2.11,1,125
9920191,Bright 2 Bdrm Apt in Williamsburg,6896056,Jonathan,Brooklyn,40.71569,-73.93735,Entire home/apt,180,7,0,,,1,0
35943648,Spacious 6BR in Bushwick (10 Mins to Manhattan!),269865501,Adela,Brooklyn,40.69445,-73.92235,Entire home/apt,550,2,0,,,3,354
658366,HEART OF NYC! Sunny furn 1 br wifi,3319410,Dawn,Manhattan,40.73354,-73.98593,Entire home/apt,127,3,182,6/23/2019,2.3,1,264
7700741,Spacious Private Room near train station :-)!,3284564,Mahrokh,Manhattan,40.81406,-73.95282,Private room,69,2,1,9/22/2015,0.02,1,0
15867800,Private bedroom & bathroom in 2 bedroom 2 bath Apt,36669277,Eugenie,Brooklyn,40.71805,-73.96416,Private room,105,1,38,10/30/2017,1.21,1,0
35972633,New Boutique Sunny Luxury Williamsburg Condo,269112262,Sam,Brooklyn,40.71443,-73.9527,Entire home/apt,175,2,0,,,1,81
6940108,Classic Upper East Side 1 Bed (king bed) Apt,13031379,Esther,Manhattan,40.77252,-73.9556,Entire home/apt,140,2,57,6/16/2019,1.18,1,0
28242507,"Cozy, Centrally Located Upper East Side Flat",10720383,Gregory,Manhattan,40.78315,-73.94693,Entire home/apt,199,2,49,7/1/2019,5.18,1,62
21416357,Gorgeous Green Premium Suite! (Brooklyn),25036260,Jaye,Brooklyn,40.68826,-73.90933,Private room,80,1,34,6/3/2019,2.07,3,207
33575571,HOSTEL MY REFUGE PAISA(Camarote#2abajo),248654228,Albeiro Y Katalina,Queens,40.76255,-73.88019,Shared room,43,1,0,,,4,153
271083,Sleep & Wake near Botanical Gardens,1217923,Kevin,Brooklyn,40.65772,-73.96131,Entire home/apt,93,4,115,6/12/2019,1.25,1,312
5543210,Sunny Oasis in Carroll Gardens,3424719,Demetria,Brooklyn,40.68255,-74.00224,Private room,90,4,8,5/13/2019,0.16,1,0
29624337,Quiet spacious Williamsburg room w/ private bath,222990788,Reni,Brooklyn,40.71018,-73.94671,Private room,100,1,4,12/11/2018,0.52,1,0
1325432,"Private Room in Woodside, Queens: Good Deal!",2989617,Seth,Queens,40.74265,-73.89781,Private room,79,2,61,5/20/2019,0.93,1,353
189787,Spacious & Comfy BK Brownstone,915640,Sundiata,Brooklyn,40.66788,-73.94813,Entire home/apt,99,4,90,6/30/2019,0.94,1,56
2101349,Stunning UWS studio private room;,9829662,Victoria,Manhattan,40.77747,-73.98095,Private room,150,3,10,5/27/2019,0.16,1,42
13431664,Private Condo Room w/ Patio,74727409,Agustina,Bronx,40.81937,-73.90978,Private room,45,2,68,5/30/2019,1.83,1,156
10049335,BEAUTIFUL ROOM IN HEART OF BROOKLYN,5065719,Melissa,Brooklyn,40.73226,-73.95285,Private room,60,1,2,1/1/2016,0.05,1,0
21267975,Big room @ independent Eco-friendly aprtmnt.,1272997,Ariadna,Brooklyn,40.72868,-73.95248,Private room,52,2,68,6/3/2019,3.25,1,9
34243440,Room in Astoria - few steps from subway Ditmars,16072483,Danilo,Queens,40.77419,-73.91113,Private room,30,2,5,7/2/2019,2.31,1,11
19239928,"Bright UES Studio, avail short or long term",5530093,Natallia,Manhattan,40.76327,-73.9612,Entire home/apt,180,6,5,11/7/2017,0.21,1,0
16133101,Sunny Room in Bed Stuy Brooklyn,1626704,Meghan,Brooklyn,40.69512,-73.94978,Private room,75,2,55,12/30/2018,1.95,1,0
17678601,Pretty Brooklyn One-Bedroom for 2 to 4 people,107947878,Michael,Brooklyn,40.6781,-73.90822,Entire home/apt,100,2,50,6/26/2019,3.12,2,235
25018204,"Paradise Garden, Spa, Steam & Massage Table #10299",172611460,Rasmus,Manhattan,40.82263,-73.95181,Entire home/apt,2500,3,14,6/24/2019,1.38,2,150
26190809,UWS room perfect for NYC weekend,27474188,Janice,Manhattan,40.7975,-73.97099,Private room,74,2,2,7/30/2018,0.16,3,0
32385315,"Warm , Beautiful and cozy 1Br in LES",243181741,Samia,Manhattan,40.71257,-73.995,Entire home/apt,175,2,15,7/1/2019,3.44,1,90
27329585,1BR trendy Bushwick apt & minutes from Manhattan!,205930301,Robert,Brooklyn,40.693,-73.91078,Entire home/apt,99,1,79,6/24/2019,7.18,1,173
33044128,Morden  spacious Private room  near subway M/J/L/G,248161322,Sergii,Brooklyn,40.69995,-73.93933,Private room,64,30,0,,,14,364
20026248,Beach House,37318968,V Joe,Queens,40.59082,-73.80328,Entire home/apt,275,2,24,6/23/2019,1.02,1,335
6472275,"Cozy,newly furnished room inAstoria",24597265,Freda,Queens,40.77077,-73.90903,Private room,45,6,4,6/15/2017,0.09,8,318
19224202,Spacious Comfort in the Upper West Side,6001984,Pierre,Manhattan,40.80253,-73.96812,Entire home/apt,190,4,4,11/27/2018,0.17,1,0
7399449,Modern 1 Bdrm Apt in Mid Manhattan,393944,Guillermo,Manhattan,40.74537,-73.97462,Entire home/apt,230,2,0,,,1,0
35833041,Luxury 5 Bedroom | 3 Bathroom South Street Seaport,268445572,Gabrielle And Steven,Manhattan,40.70662,-74.00258,Entire home/apt,750,3,0,,,1,352
11101754,Upscale Sun-Soaked Luxury apartment in Brooklyn,7872220,Charlie,Brooklyn,40.68673,-73.9579,Entire home/apt,145,1,153,7/6/2019,4.66,1,47
18855394,Cozy private bedroom,516015,David,Brooklyn,40.70648,-73.95686,Private room,55,5,2,6/21/2017,0.08,1,0
805793,Charming Astoria/NYC Studio Sublet,4241831,Timothy,Queens,40.76108,-73.9274,Entire home/apt,150,14,0,,,1,0
18812670,Midtown Luxury Living room close to Highline,130982506,Chen,Manhattan,40.75378,-74.00274,Private room,68,14,0,,,1,0
6328394,"Trendy, newly renovated 1 BD Apt.",8876603,Tammy,Manhattan,40.81356,-73.94807,Entire home/apt,145,3,143,6/24/2019,2.95,1,252
31815508,Private room with a great location in Manhattan,124028462,Sergii,Manhattan,40.80492,-73.95817,Private room,59,30,2,5/13/2019,0.5,3,333
19786465,private room in the Bronx,84941679,Junior,Bronx,40.81699,-73.86741,Private room,80,1,2,10/2/2018,0.09,1,88
22005115,Two floor apartment near Central Park,82746113,Cecilia,Manhattan,40.78761,-73.96862,Entire home/apt,135,5,1,6/30/2019,1,2,145
16893030,Large Studio one block from Times Square,7593341,Vaki,Manhattan,40.75951,-73.98796,Private room,195,1,9,12/16/2018,0.31,1,9
10162752,Modern PH + Balcony&Skyline view,25169027,Max,Brooklyn,40.70491,-73.92367,Entire home/apt,110,4,3,6/24/2016,0.07,1,0
30715422,A spacious 1 bedroom apt in a landmark building,5953913,Zhanna,Manhattan,40.70418,-74.01695,Entire home/apt,220,2,0,,,1,0
30218133,The Exclusive Studio Manhattan NYC,13133052,Bruno,Manhattan,40.74749,-73.9869,Entire home/apt,182,3,16,7/1/2019,2.31,1,301
32699916,Harlem Hideaway,180523383,Richardene,Manhattan,40.80305,-73.94163,Entire home/apt,185,1,5,5/5/2019,1.2,1,338
15230938,Bluebird Lavish 2-BR Apt Within Mile of Times Sq.,95459395,Bluebird,Manhattan,40.7602,-73.998,Entire home/apt,748,30,0,,,18,185
23565676,"luxury 2 bedrom, 1 bath, 1 living room top FL view",161899037,Tony,Queens,40.75654,-73.83146,Entire home/apt,278,2,31,7/2/2019,2.12,7,68
31353429,"Huge Fully Equipped Apt, DM Building, Great Area",21412569,Mike,Manhattan,40.74533,-73.97685,Entire home/apt,395,5,1,4/18/2019,0.37,1,363
21172924,Midtown East,152852607,Jerry,Manhattan,40.7557,-73.96871,Entire home/apt,185,3,35,6/10/2019,1.66,1,0
16390662,room with view and bath,106291193,Mathilde,Queens,40.7408,-73.82708,Private room,35,1,0,,,1,0
20227210,"Sunny one-bedroom apt., close to Prospect Park",1553230,Kate,Brooklyn,40.67635,-73.97113,Entire home/apt,124,2,9,2/19/2019,0.39,1,0
9494304,1 BD BALCONY APT SECURE ELEVATOR BLDG W/ ROOFTOP,224009,Michelle,Manhattan,40.79478,-73.94178,Entire home/apt,325,7,5,9/26/2018,0.12,1,358
22019711,Sunlit Private Room in Uptown Manhattan,70338191,Dana,Manhattan,40.85677,-73.92986,Private room,45,2,50,6/30/2019,2.69,1,3
13821806,Charming 1BR in Williamsburg - perfectly located,7695239,Rachad,Brooklyn,40.72128,-73.95782,Entire home/apt,249,3,0,,,1,0
25998807,"Great Private Room in Midtown, great Location!",193364875,Silva,Manhattan,40.76311,-73.98704,Private room,98,2,64,7/5/2019,5.65,1,54
32065845,"Times Square Suite with amazing views, high floor!",240460735,Jj,Manhattan,40.76015,-73.98497,Entire home/apt,890,1,2,3/2/2019,0.41,1,301
20621413,2-Bedroom Presidential 1 - Wyndham Midtown 45,145801588,Aaron,Manhattan,40.75371,-73.97226,Entire home/apt,699,3,3,4/11/2019,0.2,4,324
32045403,Comfortable Private Room in Crown Heights,64213111,Meir,Brooklyn,40.66088,-73.94363,Private room,50,2,0,,,1,0
15178725,2 BR Tropical Getaway near Ferry,96341353,Tony & Grace,Staten Island,40.6437,-74.07944,Entire home/apt,150,1,23,6/18/2019,0.78,3,336
12827146,"Cozy One Bedroom Apartment in Astoria, NYC",18922352,Israel,Queens,40.76368,-73.91518,Entire home/apt,68,4,11,10/11/2017,0.31,1,0
1428371,Great  Room in Astoria - New York,7681692,Ernesto,Queens,40.76924,-73.91776,Private room,75,6,0,,,1,180
26232008,Large Private Room btwn Central/Riverside Parks,28071093,Kathleen,Manhattan,40.79973,-73.9656,Private room,60,2,5,9/25/2018,0.45,1,0
25025533,"Luxe Large Studio Apt with Rooftop, Doorman, & Gym",6319849,Charles,Manhattan,40.75678,-73.99357,Entire home/apt,198,9,2,1/31/2019,0.28,1,12
28954146,NEW- Spacious & Bright Brooklyn 1 Bed,218219395,Gigi,Brooklyn,40.70081,-73.91805,Entire home/apt,160,2,20,6/3/2019,2.28,1,364
32920999,Tranquil Manhattan Room close to Trains,3228429,Austin,Manhattan,40.82791,-73.94752,Private room,65,2,6,7/2/2019,2.07,1,72
21378145,Beautiful Studio Apartment on Upper East Side!,64327344,Diane,Manhattan,40.777,-73.94861,Entire home/apt,115,3,38,8/31/2018,1.81,1,0
12778383,Full 1 BR apartment in East Williamsburg/Bushwick,6513527,Blase,Brooklyn,40.70585,-73.94178,Entire home/apt,110,6,4,5/8/2018,0.15,1,0
6387739,"Room in Bushwick, Brooklyn",33297467,Camilla,Brooklyn,40.70104,-73.92278,Private room,39,4,4,12/17/2018,0.13,1,0
31954104,"Best Location, Best Roof!",17062221,Vanessa,Manhattan,40.73935,-73.98025,Entire home/apt,260,3,6,6/3/2019,1.31,2,173
22119375,Hart House - Calm Space in Bed-Stuy Activist Home,63935474,Tok,Brooklyn,40.69538,-73.94657,Private room,35,2,4,1/1/2018,0.21,1,0
